EmployerId,Employees,Industry,NetworkStrength,ZipCode,ClientStartDate
409551605,10,I12,0.5073,14301,01/29/14
848679,22,I12,-0.1249,78229,11/03/02
664144005,168,I20,-0.0671,48529,07/04/12
604857,19,I27,0.7818,45429,10/17/04
128777227,12,I19,-0.4495,16335,10/29/16
666349493,15,,0.7903,30117,11/10/00
650413676,22,I11,0.1056,60603,12/18/09
804319,12,,0.4454,93103,09/18/03
639500,75,I27,0.3793,07734,09/01/13
495457,18,,0.6907,48350,06/21/11
118551617,12,I13,-0.0555,02110,10/20/08
600280,2,I07,-0.0701,15666,01/01/99
650460326,16,I11,0.5411,93063,08/12/11
693361,25,I22,0.1530,98124,03/15/02
580785700,57,I24,0.3918,10017,07/11/00
590664,10,I19,-0.0594,17522,12/02/14
183593195,27,I11,0.5766,43219,01/26/14
448209,6,I23,0.3866,55109,07/03/13
822538,3975,,0.4896,84111,05/15/15
697816503,2069,,0.4146,32082,06/30/12
807109,5,I23,0.2052,45241,07/31/11
469060288,2,I12,-1.5141,59101,05/23/14
474258,25,I20,0.5411,90033,05/26/14
616826127,75,I01,-0.1124,55435,01/24/09
613612,9,I01,0.2920,85251,03/07/02
304239398,64,I27,0.3413,78759,10/21/12
294177744,42,I02,0.6037,96704,11/22/98
626790,10,I22,-0.2097,15143,03/12/09
827082,9,I27,-0.4309,35202,01/29/02
650497703,10,,-0.3704,59901,04/30/13
401234985,16,,0.6770,92703,10/04/12
538251,12,I22,-0.1124,55414,09/17/98
673202,2,I27,0.0655,08722,08/11/03
204581358,23,I27,0.8483,92590,05/18/04
577497,176,I22,-0.1424,60061,11/06/14
577503,48,I20,0.1530,98106,01/04/06
761600,9,I23,0.4798,01073,08/29/07
252997273,222,I20,-0.8657,27260,08/20/14
687842,10,,0.4381,08077,09/22/15
562091,2,I22,-0.2378,01760,01/04/04
696430665,16,,0.6367,46601,01/15/16
689971491,57,I11,0.3413,78758,06/15/00
396304377,2,,0.4239,93711,02/13/00
619956549,58,I22,-0.6589,04102,03/02/11
208758115,10,,0.6770,92807,07/19/11
306714530,8,,0.1815,60532,10/11/09
684744926,10,,-0.1704,27511,11/09/99
430529871,11,I27,-0.2462,53151,10/23/08
325708831,6,I24,-0.0971,64116,07/24/03
708531,11,I23,0.6284,92121,06/09/00
845587,53,I20,0.5276,54603,05/18/02
149494223,96,I11,-0.0555,02116,07/22/00
552510,17,I20,0.5206,63932,04/07/14
630840946,358,I27,-0.3813,27889,03/28/00
425265149,80,I23,0.5281,45504,11/19/04
