EmployerId,Offered,Status,QuoteDate
363773443,ProductX,Lost,2018-02-02
186941116,ProductX,Lost,2018-05-10
511147993,ProductX,Lost,2018-04-30
46777684,ProductX,Lost,2018-09-10
115068663,ProductX,Lost,2018-06-28
673771305,ProductX,Lost,2019-09-08
628194837,ProductX,Lost,2019-11-23
699182992,ProductX,Sold,2019-07-30
445944,ProductX,Lost,2018-10-09
509983382,ProductX,Lost,2018-06-23
589766893,ProductX,Lost,2019-02-20
603676360,ProductX,Lost,2018-12-11
512262,ProductX,Lost,2019-01-04
609037334,ProductX,Lost,2018-07-06
556763,ProductX,Lost,2018-07-10
695654073,ProductX,Sold,2019-08-09
270638897,ProductX,Lost,2018-06-23
792227,ProductX,Lost,2019-07-02
652956,ProductX,Lost,2018-04-04
479659,ProductX,Lost,2019-01-14
21733592,ProductX,Lost,2018-06-29
420935428,ProductX,Lost,2019-08-21
392635177,ProductX,Lost,2018-08-10
688300033,ProductX,Lost,2019-04-09
274489039,ProductX,Sold,2019-08-30
629803,ProductX,Lost,2019-04-01
578399632,ProductX,Lost,2018-05-28
269778799,ProductX,Lost,2019-05-26
690926401,ProductX,Lost,2019-07-06
472946,ProductX,Lost,2019-09-17
721679,ProductX,Lost,2019-05-10
507293,ProductX,Lost,2018-12-09
306835575,ProductX,Lost,2018-07-27
702062,ProductX,Lost,2018-08-25
693209689,ProductX,Lost,2018-11-23
361530666,ProductX,Sold,2019-08-18
440635,ProductX,Lost,2019-07-01
650278209,ProductX,Sold,2018-09-25
627586,ProductX,Lost,2018-06-14
682048543,ProductX,Lost,2019-07-07
525647,ProductX,Lost,2019-10-11
617634,ProductX,Lost,2018-07-04
386662269,ProductX,Sold,2019-09-29
475131,ProductX,Lost,2018-08-01
615780097,ProductX,Lost,2019-05-29
641031,ProductX,Lost,2018-09-25
468005,ProductX,Lost,2019-05-27
650552527,ProductX,Lost,2019-01-09
546233312,ProductX,Lost,2019-12-21
265788730,ProductX,Lost,2019-04-19
698590746,ProductX,Lost,2019-02-06
44725365,ProductX,Lost,2018-12-28
835587,ProductX,Sold,2018-09-27
678495,ProductX,Lost,2018-10-27
464574884,ProductX,Lost,2019-07-06
220318565,ProductX,Lost,2018-06-04
675909339,ProductX,Lost,2018-10-28
670609601,ProductX,Sold,2018-05-06
585956,ProductX,Lost,2018-10-21
362969202,ProductX,Sold,2018-06-11
287563480,ProductX,Lost,2019-02-25
694181381,ProductX,Lost,2019-06-15
562493,ProductX,Lost,2019-06-25
298003187,ProductX,Lost,2018-01-07
557644,ProductX,Lost,2018-10-07
446319401,ProductX,Sold,2019-11-11
521170,ProductX,Lost,2019-02-19
576151827,ProductX,Lost,2019-02-03
568880441,ProductX,Lost,2019-06-04
747676,ProductX,Lost,2018-12-07
625849411,ProductX,Lost,2018-05-04
520562647,ProductX,Lost,2019-12-25
536732694,ProductX,Sold,2018-10-27
553813380,ProductX,Lost,2019-05-16
470408,ProductX,Lost,2019-03-10
348736537,ProductX,Lost,2019-06-12
566256676,ProductX,Lost,2019-07-02
723787,ProductX,Lost,2018-04-30
528336550,ProductX,Lost,2019-02-28
518759322,ProductX,Sold,2019-09-12
103548342,ProductX,Lost,2018-09-15
252054056,ProductX,Lost,2018-11-04
742463,ProductX,Lost,2019-02-24
538935709,ProductX,Lost,2019-10-31
866690,ProductX,Lost,2018-06-18
490247038,ProductX,Lost,2019-05-26
579439432,ProductX,Lost,2018-02-09
610321647,ProductX,Lost,2019-11-29
133103728,ProductX,Lost,2019-05-01
677227762,ProductX,Sold,2019-07-12
67082664,ProductX,Lost,2018-07-09
466389,ProductX,Lost,2018-05-03
638821665,ProductX,Lost,2018-05-12
385155059,ProductX,Sold,2019-01-25
811624,ProductX,Lost,2019-10-06
555836275,ProductX,Lost,2019-08-21
266427298,ProductX,Sold,2019-08-21
623693004,ProductX,Lost,2019-07-29
679502,ProductX,Sold,2018-09-22
644531058,ProductX,Lost,2019-10-28
125064557,ProductX,Lost,2019-03-15
372311025,ProductX,Lost,2018-11-07
441206,ProductX,Lost,2018-02-01
710056948,ProductX,Lost,2019-05-26
132592681,ProductX,Lost,2019-09-18
358080779,ProductX,Lost,2019-11-02
568476210,ProductX,Lost,2019-04-30
587362,ProductX,Lost,2018-07-19
575797672,ProductX,Sold,2018-12-29
514432530,ProductX,Lost,2019-07-23
596381,ProductX,Lost,2018-09-19
664292,ProductX,Lost,2019-03-25
558296288,ProductX,Lost,2019-10-16
818412,ProductX,Sold,2019-08-17
375666935,ProductX,Lost,2018-10-19
495133725,ProductX,Lost,2018-02-12
441350184,ProductX,Sold,2019-06-02
161056833,ProductX,Lost,2019-11-29
699735,ProductX,Lost,2019-10-15
650033140,ProductX,Lost,2018-07-16
683131909,ProductX,Lost,2018-10-19
701545,ProductX,Lost,2018-11-04
657074220,ProductX,Sold,2018-03-15
513422367,ProductX,Sold,2019-06-22
616274,ProductX,Lost,2018-01-06
566287770,ProductX,Lost,2018-06-13
666791416,ProductX,Sold,2019-12-05
640267,ProductX,Lost,2019-04-16
753974,ProductX,Lost,2019-08-11
737596,ProductX,Lost,2018-12-11
411881268,ProductX,Lost,2018-06-01
654530,ProductX,Lost,2019-04-12
469221196,ProductX,Sold,2018-11-14
541418709,ProductX,Lost,2018-09-11
694479812,ProductX,Lost,2018-09-02
24510942,ProductX,Lost,2018-03-01
632343,ProductX,Lost,2019-02-02
121897354,ProductX,Lost,2018-04-25
656580673,ProductX,Sold,2018-02-16
706056,ProductX,Lost,2018-09-02
269590117,ProductX,Lost,2019-03-13
630225043,ProductX,Sold,2018-02-10
474710,ProductX,Lost,2019-12-06
529882133,ProductX,Sold,2018-09-17
172193200,ProductX,Sold,2018-10-06
719242,ProductX,Lost,2018-10-21
