,EmployerId,Employees,SizeRange,ClientTenure,Industry,ClientStartDate,QuoteDate,Offered,ExistingProducts,NumUniqueProducts,SumPremium
0,128777227,12,10-49 EE,866,I19,2016-29-10,2019-03-14,ProductX,"Product3,Product1",2,15796
1,666349493,15,10-49 EE,6451,,2000-10-11,2018-07-10,ProductX,"Product2,Product1",2,13342
2,650413676,22,10-49 EE,3172,I11,2009-18-12,2018-08-25,ProductX,"Product3,Product2,Product1,Product4",4,32854
3,495457,18,10-49 EE,2784,,2011-21-06,2019-02-03,ProductX,"Product4,Product2",2,9734
4,118551617,12,10-49 EE,3914,I13,2008-20-10,2019-07-09,ProductX,"Product2,Product1",2,12778
5,807109,5,0-9 EE,2532,I23,2011-31-07,2018-07-06,ProductX,"Product4,Product1,Product2",3,14588
6,616826127,75,50-99 EE,3679,I01,2009-24-01,2019-02-20,ProductX,"Product3,Product1",2,28697
7,304239398,64,50-99 EE,2616,I27,2012-21-10,2019-12-20,ProductX,"Product2,Product4",2,15193
8,689971491,57,50-99 EE,6619,I11,2000-15-06,2018-07-30,ProductX,"Product4,Product1",2,23169
9,684744926,10,10-49 EE,29207,,2099-09-11,2019-11-22,ProductX,"Product3,Product4",2,21668
10,630840946,358,100-499 EE,6564,I27,2000-28-03,2018-03-18,ProductX,"Product4,Product1,Product2",3,15397
11,425265149,80,50-99 EE,5106,I23,2004-19-11,2018-11-12,ProductX,"Product2,Product3,Product1",3,22668
12,271103502,110,100-499 EE,6503,I24,2001-12-07,2019-05-02,ProductX,"Product3,Product2",2,11318
13,625774191,17,10-49 EE,2945,I27,2011-17-04,2019-05-10,ProductX,"Product2,Product4",2,12912
14,2255318,19,10-49 EE,1662,I20,2013-06-11,2018-05-26,ProductX,"Product4,Product3,Product1",3,18122
15,131117076,25,10-49 EE,951,I13,2016-27-07,2019-03-05,ProductX,"Product3,Product4",2,12468
16,653639247,26,10-49 EE,1130,,2016-06-11,2019-12-11,ProductX,"Product3,Product1",2,11512
17,347016222,28,10-49 EE,29129,I13,2099-14-08,2019-11-13,ProductX,"Product3,Product2",2,19841
18,614565751,43,10-49 EE,1456,I26,2015-05-07,2019-06-30,ProductX,"Product4,Product3,Product2",3,28775
19,555473,45,10-49 EE,6004,I18,2001-07-09,2018-02-14,ProductX,"Product3,Product1",2,10732
20,694043,27,10-49 EE,6128,I22,2002-29-03,2019-01-07,ProductX,"Product3,Product1",2,31319
